,energy_in,energy_out,soc,charge_bool,discharge_bool,profit_timeseries,cumulative_profit,cumlative_cycle_rate,cumlative_profit
8,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
9,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
10,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
11,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
12,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
13,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
14,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
15,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
16,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
17,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
18,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
19,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
20,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
21,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
22,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
23,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
24,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
25,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
26,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
27,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
28,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
29,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
30,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
31,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
32,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
33,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
34,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
35,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
36,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
37,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
38,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
39,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
40,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
41,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
42,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
43,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
44,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
45,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
46,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
47,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
48,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
49,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
50,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
51,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
52,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
53,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
54,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
55,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
56,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
57,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
58,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
59,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
60,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
61,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
62,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
63,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
64,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
65,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
66,0.0,0.0,19.8827580269338,0.0,1.0,0.0,-715.931978861393,24.0941379013467,3754.002456458214
67,0.0,10.0,9.88275802693381,0.0,1.0,939.5217,223.589721138608,24.5941379013467,4693.524156458214
68,0.0,0.0,9.88275802693381,0.0,1.0,0.0,223.589721138608,24.5941379013467,4693.524156458214
69,0.0,0.0,9.88275802693381,0.0,1.0,0.0,223.589721138608,24.5941379013467,4693.524156458214
70,0.0,0.0,9.88275802693381,0.0,1.0,0.0,223.589721138608,24.5941379013467,4693.524156458214
71,0.0,0.0,9.88275802693381,0.0,1.0,0.0,223.589721138608,24.5941379013467,4693.524156458214
72,0.0,0.0,9.88275802693381,0.0,1.0,0.0,223.589721138608,24.5941379013467,4693.524156458214
73,0.0,0.0,9.88275802693381,0.0,1.0,0.0,223.589721138608,24.5941379013467,4693.524156458214
74,0.0,0.0,9.88275802693381,0.0,1.0,0.0,223.589721138608,24.5941379013467,4693.524156458214
75,0.0,0.0,9.88275802693381,0.0,1.0,0.0,223.589721138608,24.5941379013467,4693.524156458214
76,0.0,0.0,9.88275802693381,0.0,1.0,0.0,223.589721138608,24.5941379013467,4693.524156458214
77,0.0,0.0,9.88275802693381,0.0,1.0,0.0,223.589721138608,24.5941379013467,4693.524156458214
78,4.09379357845295,0.0,13.9765516053868,1.0,0.0,-190.851503446187,32.7382176924208,24.7988275802693,4502.672653012027
79,0.0,0.0,13.9765516053868,1.0,0.0,0.0,32.7382176924208,24.7988275802693,4502.672653012027
80,0.0,0.0,13.9765516053868,0.0,1.0,0.0,32.7382176924208,24.7988275802693,4502.672653012027
81,0.0,0.0,13.9765516053868,0.0,1.0,0.0,32.7382176924208,24.7988275802693,4502.672653012027
82,0.0,0.0,13.9765516053868,0.0,1.0,0.0,32.7382176924208,24.7988275802693,4502.672653012027
83,0.0,0.0,13.9765516053868,0.0,1.0,0.0,32.7382176924208,24.7988275802693,4502.672653012027
84,0.0,0.0,13.9765516053868,0.0,1.0,0.0,32.7382176924208,24.7988275802693,4502.672653012027
85,0.0,0.0,13.9765516053868,0.0,1.0,0.0,32.7382176924208,24.7988275802693,4502.672653012027
86,0.0,0.0,13.9765516053868,0.0,1.0,0.0,32.7382176924208,24.7988275802693,4502.672653012027
87,0.0,0.0,13.9765516053868,0.0,1.0,0.0,32.7382176924208,24.7988275802693,4502.672653012027
88,0.0,0.0,13.9765516053868,0.0,1.0,0.0,32.7382176924208,24.7988275802693,4502.672653012027
89,0.0,0.0,13.9765516053868,0.0,1.0,0.0,32.7382176924208,24.7988275802693,4502.672653012027
90,0.0,0.0,13.9765516053868,0.0,1.0,0.0,32.7382176924208,24.7988275802693,4502.672653012027
91,0.0,10.0,3.97655160538676,0.0,1.0,923.0,955.738217692421,25.2988275802693,5425.672653012027
92,0.0,0.0,3.97655160538676,0.0,1.0,0.0,955.738217692421,25.2988275802693,5425.672653012027
93,0.0,0.0,3.97655160538676,0.0,1.0,0.0,955.738217692421,25.2988275802693,5425.672653012027
94,0.0,0.0,3.97655160538676,0.0,1.0,0.0,955.738217692421,25.2988275802693,5425.672653012027
